trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
1,true,1615,3.25051e-06,9.12172e-06,-0.258011,-0.470254,0.412535,-0.454188, -0.265069, -1.64308, -2.40924, -0.341354, 3.30511, -0.238897,1.51958, -0.00416301, 2.83722, -2.22218, 1.53799, 3.05397, -1.79867
2,true,951,4.11348e-06,9.37629e-06,-0.753966,0.201484,0.162478,-0.195551, -1.63659, -2.86721, -0.0673222, -0.869244, 1.57479, -1.983,-0.0866692, -1.20961, 2.89679, -0.855415, -0.389803, 1.91623, -1.8754
3,true,667,1.95971e-06,9.7527e-06,0.729691,-0.23277,0.338671,-2.68924, -1.46789, 1.54772, -1.41584, 2.48433, 1.60494, -1.5983,-1.16401, 1.54319, 1.54178, -1.37689, -1.04575, 2.5249, -0.684535
4,true,1738,8.41682e-06,9.48097e-06,0.122076,-0.129734,1.15256,-0.0993318, 0.657185, -2.86044, -0.83201, -0.808723, 2.48315, -1.13434,1.94576, -0.697042, -0.182925, -0.805713, 1.12351, 2.39202, -1.77706
5,true,26448,8.50011e-06,1.15549e-05,-0.546066,0.405329,0.821131,-0.564459, -1.02673, 1.19803, -0.28463, 0.536011, 3.11909, 2.11044,-0.485109, -0.834117, 1.78676, -0.352315, -0.851448, 3.13417, 2.83303
6,false,100048,0.225881,1.20102,0.188858,-0.48695,0.975838,-1.35292, 0.372423, 1.18581, -0.133936, 1.29888, 2.47922, 2.77748,
7,true,590,8.64619e-06,1.08311e-05,0.101271,0.235244,0.341967,0.800793, -0.466158, -0.119937, -2.91262, 1.11488, 1.2412, -0.650681,-1.26095, 1.7628, 1.46202, -3.03785, -0.198993, 2.09381, 0.472281
8,true,433,3.16662e-06,7.82968e-06,0.252393,0.0958007,0.209213,0.799877, -0.209292, -0.452983, -2.88649, -0.179567, 2.06766, 0.0597819,-1.45286, 1.7628, 1.54204, -2.73727, -1.16441, 0.997642, 1.00782
9,true,489,3.84475e-06,1.0805e-05,0.0057463,-0.590423,0.234521,0.780186, -1.11592, -2.01464, -1.45457, -0.468957, 1.10151, -0.604118,-2.22425, 0.927037, 0.86839, -1.47322, -0.294079, 1.17509, -0.762298
10,false,100028,0.855697,2.71782,-0.525304,-0.0127488,0.372397,-1.27503, -1.31098, 2.84389, -2.4288, 1.54803, 3.25144, -1.38515,
11,true,1272,9.92184e-07,7.71164e-06,0.118035,-0.355106,0.227852,2.42917, -0.295457, 2.38233, -2.39181, -2.31844, 3.63018, 2.39227,-1.54296, -0.0508999, 0.410228, -2.83023, 0.662462, 2.96099, -0.363302
12,true,2006,9.38773e-07,1.04434e-05,0.116621,0.309671,0.974668,-0.526888, -0.821004, 0.444571, -1.38986, -1.61014, 3.35676, -0.0425031,-0.159729, 1.00115, 2.60054, -1.70616, -2.8973, 1.88748, -1.45166
