trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
1,true,5560,9.51228e-06,4.27217e-06,-0.283467,0.651527,0.807917,1.83688, 0.719459, 0.308925, -0.508505, -0.839593, 2.76563, -1.38303,-1.09281, -0.671597, 2.89729, -0.606393, -0.30111, 2.85788, -1.52504
2,false,100234,0.515444,2.43788,-0.125497,-0.397125,0.845487,-1.43059, -0.878129, -0.0363178, -1.55428, 1.61688, 0.672715, -0.88749,
3,true,1753,1.09136e-05,1.02126e-05,-0.426552,0.331792,0.96834,1.98195, 1.0928, 2.49703, -0.879666, -0.735169, 2.46646, 0.482459,-1.18156, -0.238324, -2.52576, -0.832411, 1.69565, 2.13638, -0.183593
4,false,100035,1.10119,2.24298,0.0639683,-0.552946,0.914784,-1.16793, -0.196554, 1.90257, -2.85234, -0.726842, 2.92505, -1.94188,
5,true,613,3.56989e-06,1.24665e-05,-0.271914,-0.241309,0.817114,2.61175, -0.610882, 0.58268, -1.47983, 0.683066, 1.11824, 1.19489,-0.541896, 0.61524, -2.55608, -1.47888, 0.689733, 1.1137, 1.19003
6,true,4547,7.41603e-06,1.23299e-05,0.26141,-0.672686,0.614374,-1.10122, 0.733643, 0.0786179, -0.628987, -0.955149, 1.40251, -1.9101,-1.13787, 0.739088, 0.174579, -0.623298, -1.02416, 1.38397, -1.90184
7,true,331,1.72321e-06,1.02571e-05,-0.423662,-0.0955876,0.309379,-1.92802, 1.71381, -1.79777, -1.91087, 0.84097, 0.0775867, -1.06527,2.81499, 0.180458, 0.377549, -2.19385, 0.624891, 1.28575, 0.25304
8,true,2154,6.35864e-06,1.31443e-05,-0.49367,-0.0479133,0.764955,-0.334376, -1.35576, -0.216009, -1.09716, -1.43786, 0.620097, -1.22116,1.25303, -0.260604, 1.52503, -1.1518, 0.837196, 0.981458, -2.40519
9,true,2937,2.69184e-06,1.01995e-05,0.655252,0.110167,0.421436,0.684843, 1.32553, -1.63648, -1.24833, 2.45422, 0.352714, -0.0281888,0.566381, 1.7628, -2.04473, -1.26077, -2.57515, 0.326027, 0.702075
10,false,100025,0.964421,2.18089,-0.632227,-0.206113,0.487716,-1.41362, -0.182024, 0.135069, -1.18277, 2.87469, 2.08871, 0.477573,
11,true,16563,2.9344e-06,1.04555e-05,0.684947,-0.0436841,0.768684,-0.0776959, 0.928807, -0.131474, -0.375071, -0.14678, 3.51128, -2.06715,0.0849139, 0.941406, -1.80923, -0.0606521, -2.2617, 3.1686, 1.63911
12,true,1354,3.70431e-06,5.70921e-06,0.0188439,-0.178377,0.983061,1.88081, 0.267826, 2.67574, -1.09968, 1.92514, 0.504572, -2.20359,-2.24061, 1.0411, 2.89684, -1.19744, -0.0122827, 1.3357, -1.62589
13,true,2735,1.01471e-06,8.14835e-06,0.180251,0.68185,0.451158,-1.89734, -0.690049, -2.8921, -0.991273, 2.56184, 3.59186, -2.3366,1.37434, 0.447958, -0.165711, -1.71349, -0.569196, 3.24487, 0.940433
14,false,100313,0.663794,1.79857,-0.526749,0.0707757,0.800854,2.59481, 1.43037, -2.63188, -2.4524, 2.09574, 0.619276, 0.644896,
15,false,100024,0.166889,2.10311,-0.179805,0.536882,0.438312,-1.01908, -1.59212, 0.157833, -0.451391, -0.375963, 0.107527, 2.83233,
16,true,5177,5.45581e-06,8.00616e-06,-0.598648,0.267428,0.592343,2.43632, 1.38944, 1.79184, -0.311931, 0.786568, 0.797356, -1.5797,-0.39971, -1.03336, 2.75622, -0.632883, 2.8973, 0.42108, -1.53879
17,true,966,7.58604e-07,1.00507e-05,-0.203158,0.209371,0.0399724,0.905683, 1.09013, 0.786133, -2.60667, -2.79581, 2.61403, 0.915378,-0.441703, -0.559104, 2.8973, -2.62469, 2.73819, 2.55992, 2.84592
18,true,815,5.86678e-06,1.08363e-05,-0.0471264,-0.252937,0.221205,0.889835, -0.663108, -2.25988, -2.73288, -1.2904, 0.321728, -1.5986,2.81772, -0.541872, 2.36668, -2.81912, -1.13182, 1.17079, -1.95992
19,true,3829,4.73025e-06,5.71161e-06,0.695737,-0.357558,0.419987,2.48622, -1.70491, -0.502824, -0.270567, -0.279236, 1.45877, 1.55031,2.20049, -1.59243, -1.47248, -0.626166, 0.671884, 1.56238, 1.35968
20,false,100017,0.576465,1.50631,-0.142327,0.271382,0.428893,2.25623, 0.733776, -1.33691, -0.659236, -2.49821, 1.57415, 2.7849,
